Territories	Scribba25
Prairies	SaskPoliticker
Montreal	Model-EpicMFan
Centre of Quebec and Eastern Townships	Vacant
Quebec City-Eastern and Northern Quebec	raymondl810
Central Ontario	SettingObvious4738
Southwestern Ontario	Hayley182_
Toronto	FreedomCanada2025
Northern and Eastern Ontario	Trick_Bar_1439
Atlantic Canada	PhlebotinumEddie
Vancouver and the Islands	ThomasKaffee
Golden Horseshoe	jeninhenin
Fraser-Columbia and the North	WonderOverYander
Alberta North	username222222345
Alberta South	NinjjaDragon
Laval-Gatineau-North Shore	Lady_Aya
Conservative #1	Unlucky_Kale_5342
Conservative #2	realbassist
Conservative #3	AdSea260
Conservative #4	cheeselover129
Liberal #1	zetix026
Liberal #2	Ohwen
Liberal #3	Phonexia2
Liberal #4	Tyty_1234
NDP #1	ConfidentIt
NDP #2	MrWhiteyIsAwesome
NDP #3	Ishabad
